ingredients,read_number,recipe_name
原料：中粉、转化糖浆、花生油、枧水、黑芝麻、咸蛋黄、蛋液。,,#花样美食#黑芝麻月饼
原料：方鱼、芥兰、猪油、鱼露、料酒、姜、盐、白糖。,,潮音潮人：潮式方鱼炒芥兰
原料：高粉、紫薯粉、牛奶、淡奶油、糖、盐、酵母、蛋液。,,#花样美食#紫薯玫瑰包
原料：猪瘦肉、鲜松花、盐、生抽、淀粉、白糖、油。,,松花蒸肉
原料：番薯粉、五花肉、白萝卜、老抽、酱油、小葱、盐、料酒。,,浙江地方特色菜，金华肉圆，老人和小孩都爱吃！
原料：泡饵丝、猪肉、洋葱、酸菜、韭菜、胡萝卜、鸡蛋、大蒜、蚝油、酱油、自制香辣酱。,,回味炒饵丝
原料：面粉、鸡蛋、白糖、食用油、牛奶、白醋。,,纹理蛋糕
原料：圣女果、胡萝卜。,,花样美食:圣女果胡萝卜果蔬汁
原料：排骨、酱油、料酒、醋、冰糖、葱、姜。,,糖醋排骨
原料：浮小麦、炙甘草、大枣、清水。,,补脾茶饮
原料：粉丝、荷兰豆、黑木耳、花生油、蒜片、小米椒、干红椒、麻椒、姜末、蚝油、生抽、盐。,,花样美食:荷兰豆木耳烧粉丝
原料：白面、全麦面、奶粉、酵母、植物油。,,花样美食-蒸蒸日上
原料：银耳、红枣、莲子、花生、冰糖。,,莲子银耳羹
原料：黄喉、韭黄、红椒、蒜瓣、生姜、植物油、酱油、盐、鸡粉、料酒。,,小炒双黄──“鱼儿厨房”私房菜
原料：面粉、水、鸡蛋、黑芝麻、生菜、小葱、火腿肠、六月香豆瓣酱。,,快手煎饼果子
原料：豆豉鲮鱼罐头、油麦菜、花生油、蒜片、花椒、蚝油、生抽。,,豆豉鲮鱼烧油麦菜
原料：大米、小米、青稞米、糯米、燕麦米、高粱米、苦荞米、糙米、黄豆、黑豆、红豆、豌豆、鹰嘴豆、莲子、百合、芡实、茯苓、黑芝麻、红枣、核桃仁。,,花样美食🌸养颜杂粮红枣营养米糊
原料：面粉、酵母、菠菜汁、糖。,,“花样美食”梅花馒头
原料：饺子皮、五花肉、蚝油、料酒、盐、白糖、白胡椒粉、香油、葱花、姜末。,,饺子皮小笼包
原料：东北豆角、大蒜、酱油、盐。,,蒜香东北豆角
原料：豆腐、香菇、老干妈风味豆豉、酱油、盐、鸡精、淀粉、葱花、大蒜。,,老干妈豆豉烧豆腐
原料：黄金鲍、黄瓜、西红柿、大蒜、食盐、白糖、生抽、醋、鸡精、香油。,,黄瓜拌黄金鲍
原料：鸡翅中段、板粟、菜籽油、红烧酱油、料酒、蚝油、大葱、老姜。,,板粟鸡翅
原料：鱼肉、盐、糖、香醋、料酒、生抽、老抽、蚝油、葱、小米椒、菜籽油、姜、蒜。,,蒜子烧鱼块
原料：熟黑芝麻、黑米、红豆、薏米、莲芯、红枣、小米、糯米、花生米。,,杂粮芝麻糊
原料：豆腐、鸡蛋、盐、鸡精、胡椒粉、油。,,豆腐煎蛋
原料：面粉、牛奶、蜂蜜、糖、芹菜叶、鸡蛋、杏鲍菇、平菇、葱、酵母、调和油、盐、蚝油。,,素生煎
原料：基围虾、挂面、盐、料酒、姜末、蒜末、食用油。,,千丝万缕虾
原料：海虾、大葱白、生抽、鸡精。,,葱油大虾
原料：雪梨、麦冬、鲜芦根。,,雪梨麦冬芦根饮
原料：猪头肉、蒜薹、花生油、食盐、生抽、鸡精。,,蒜薹回锅猪头肉
原料：红薯、糯米粉、蜜桂花、开水。,,蜜桂花红薯汤圆
原料：海鲜菇、胡萝卜、青椒、油、盐、五香粉、葱、味极鲜酱油。,,小炒海鲜菇
原料：泡面、鸡蛋、小葱、小米辣。,,葱丝鸡蛋煎泡面
原料：饺子皮、松茸、黑虎掌、香菇、羊肚菌、盐、调味料、调味油。,,美味鲜香菌类水饺
原料：羊里脊、红薯粉丝、白吉馍、葱、青蒜、香菜、姜、白胡椒粒、料酒、盐、香叶、肉蔻、花椒、大料、小茴香。,,西安羊肉泡馍
原料：金南瓜、银耳、大红枣、菠萝块、干桂花、冰糖、糖桂花。,,桂花银耳红枣南瓜蒸
原料：红薯、面粉、白芝麻、食用油。,,全麦红薯饼
原料：米饭、鸡蛋、牛排、西兰花、平菇、圣女果。,,减脂早餐
原料：米饭、牛肉、西兰花、平菇、圣女果。,,午餐便当
原料：红薯、面粉、白芝麻、食用油。,,全麦红薯饼
原料：米饭、鸡蛋、牛排、西兰花、平菇、圣女果。,,减脂早餐
原料：米饭、牛肉、西兰花、平菇、圣女果。,,午餐便当
原料：高粉、盐、酵母、鸡蛋、黄油、水、披萨酱、金枪鱼罐头、火腿、黏玉米粒、杏鲍菇、马苏里拉芝士碎。,,#花样美食#金枪鱼火腿披萨
原料：大蒜、陈醋。,,自制腊八蒜
原料：芹菜、米饭、鸡丁、火腿、生抽、盐。,,芹菜鸡丁炒饭
原料：猕猴桃、草莓。,,花样美食～～水果玫瑰花
原料：橙子。,,鲜榨橙汁
原料：面粉、酵母、菠菜汁、糖、温水。,,“花样美食”花样馒头
原料：新良丝绒蛋糕粉、鸡蛋、砂糖、玉米油、淡奶油、细砂糖、生蛋黄、牛奶、五十铃抹茶粉、新良吉利丁片。,,一抹春色（慕斯）
原料：橙子。,,鲜榨橙汁
原料：面粉、酵母、菠菜汁、糖、温水。,,“花样美食”花样馒头
原料：新良丝绒蛋糕粉、鸡蛋、砂糖、玉米油、淡奶油、细砂糖、生蛋黄、牛奶、五十铃抹茶粉、新良吉利丁片。,,一抹春色（慕斯）
原料：面粉、酵母、菠菜汁、温水、糖。,,“花样美食”白玫瑰花馒头
原料：盐池滩羊肋条、胡萝卜、料酒、盐、姜片、蒜瓣、鸡精。,,手抓羊肉
原料：鸡蛋、焦糖法罗夫棉花糖、黄油、低筋粉、牛奶。,, #花样美食#法罗夫海绵小蛋糕
原料：鸡胸肉、面包糠、炸粉、鸡蛋、盐、鸡精、白糖、五香粉、椒盐粉、料酒、生抽、蚝油。,,香酥鸡米花
原料：沙糖桔、草莓、草莓叶。,,#花样美食#～水果拼盘
原料：罗非鱼、豆瓣酱、冰糖、生姜、葱、干辣椒、小粉、盐、鸡精、味精。,,红烧罗非鱼
原料：菠菜、面粉、鸡蛋、白糖、白芝麻、食用油。,,翡翠恋人
原料：西红柿、鸡蛋、白砂糖、花生油。,,西红柿炒鸡蛋
原料：糯米粉、黄豆粉、白砂糖。,,简易驴打滚
原料：黄芪、枸杞、菊花、冰糖、水。,,黄芪枸杞菊花茶
原料：白萝卜、洋葱、红杭椒、白糖、盐、香醋、白杭椒。,,白玉萝卜拼盘
原料：土豆、青椒、番茄、蒜苗、食盐、味精、酱油。,,番茄土豆汤
原料：茄子、葱花、蒜、油、盐、酱油、鸡精、十三香、番茄酱、淀粉、糖。,,烧茄子
原料：耗儿鱼、青笋、料酒、豆瓣酱、干花椒、老姜、大蒜、小米辣、白糖、胡椒粉、淀粉、香菜、盐。,, 馋嘴耗儿鱼
原料：猪肚、鸡、姜、红枣、胡椒粒、酒。,,猪肚鸡
原料：鸡蛋、橙子、面粉、芒果、酸奶、白砂糖。,,芒果酸奶夹心香橙口味蛋糕
原料：三文鱼、鸡蛋、苹果、猕猴桃。,,三文鱼营养早餐
原料：玉木耳、豆腐、葱、姜、酱油、欠汁、老干妈。,,酱烧玉木耳豆腐
原料：鲈鱼、料酒、小葱段、姜片、大葱丝、红辣椒丝、青辣椒丝、鸡油、菜籽油、蒸鱼豉油。,,清蒸鲈鱼
原料：土豆、肉酱、菜油油、生抽、蚝油、盐、味精。,,油炸土豆泥肉丸
原料：菠菜、粉丝、麻酱、香醋、生抽、白糖、凉白开。,,菠菜粉丝
原料：羊肉、洋葱、孜然粒、孜然粉、香菜、干辣椒、芝麻。,,孜然羊肉
原料：黄豆面、玉米面、香甜泡打粉、开水。,,窝窝头
原料：面粉、南瓜粉、芹菜、青椒、猪肉馅、水。,,花样美食-芹菜青椒猪肉蒸饺
原料：紫薯、牛奶、布丁粉、冰糖。,,紫薯布丁
原料：鸡胸肉、芦笋、葱、姜、蒜、酱油、蚝油、盐、醋、糖、胡椒粉、淀粉。,,鸡胸肉芦笋晚餐
原料：鸡胸肉、番茄、黄瓜、意大利面、生抽、盐、蒜、葱花、花椒、姜。,,红烧肉
原料：牛腩、西红柿、圆葱、番茄酱、白糖、盐、大料、花椒、桂皮、香叶、料酒、蚝油、小干辣椒。,,牛肉炖柿子
原料：腊肉、大米、胡萝卜、土豆、香菇、鸡精、蚝油、生抽、老抽。,,腊肉焖饭
原料：五花肉、香芋、姜、八角、香叶、花椒、淀粉、料酒、生抽、老抽、白糖、蚝油。,,香芋扣肉
原料：鳜鱼、羊前腿肉、生姜、葱、料酒、糖、盐、生抽、蚝油、番茄酱、孜然粉、胡椒粉、生粉、香油、色拉油。,,鱼羊鲜鳜鱼卷
原料：猪肉、红辣椒、洋葱、大蒜、花生、芝麻、白糖、鸡精、自制油辣椒、花椒粉、黑胡椒粉、蚝油、菜油、豆豉、生抽。,,梦思香辣酱
原料：西米、纯牛奶、芋头、糖。,,牛奶香芋西米露
原料：高筋面粉、全麦面粉、清水、鸡蛋液、红糖、酵母粉、黄油、红枣、核桃、枸杞子。,,红枣枸杞软欧包
原料：黄瓜、红萝卜、油、盐、醋、生抽、糖。,,响油黄瓜卷
原料：蟹味菇、油菜、生抽、蚝油、盐、糖、淀粉、植物油。,,油菜蟹味菇
原料：虾仁、白菜、猪肉、葱、调料、面粉、食用油、姜、蒜。,,白菜虾仁馅饼
原料：格扎、油菜、生抽、醋、盐、植物油。,,油菜烩格扎
原料：木耳、香菇、葱段、盐、姜片、鸡精、香油。,,香菇木耳汤
原料：鱼头、剁椒、生姜、蒜头、葱花、香菜、蒸鱼豉油、泡椒、盐、料酒、葱结、油、鸡精。,,剁椒鱼头
原料：大米、瘦肉、皮蛋、盐、料酒、鸡精。,,花样美食＋皮蛋瘦肉粥
原料：米饭、鱿鱼母、白萝卜、西蓝花、虾仁、鱼干、芹菜、黑胡椒粉、盐、大蒜末、鱼露。,,砂锅粥
原料：红薯、牛奶、白糖、马苏里拉奶酪。,,芝士焗红薯
原料：糯米、猪腿肉、花生米、生抽、老抽、料酒、十三香、盐。,,糯米蒸肉
原料：猪蹄、红辣椒、生姜、大蒜、花生、芝麻、白糖、黑胡椒面、花椒面、油、生抽、料酒。,,秘制猪蹄
原料：鳝鱼、蒜苔、油、花椒、味精、豆瓣。,,蒜苔鳝鱼
原料：洋葱、香葱、香菜、蒜蓉、食盐、味精、酱油、食醋、花椒面。,,凉拌洋葱
原料：吐司、牛奶、淡奶油、鸡蛋、椰蓉、细砂糖、蓝莓酱。,,蓝莓酱面包布丁
原料：面粉、西红柿、鸡蛋、葱花、盐。,,#花样美食#西红柿蛋饼
原料：广式腊肉、料酒。,,原味蒸广式腊肉
原料：西红柿、鸡蛋、手擀面、鲜味酱油、番茄沙司、胡椒粉、盐、香葱、大葱。,,西红柿鸡蛋干拌面
原料：腊肉、萝卜干、姜、蒜、干红辣椒、葱花、盐、酱油、鸡精、香辣油。,,香辣萝卜干
原料：生姜、苏叶、大米。,,生姜苏叶散寒粥
原料：红豆、江米、水。,,红豆糯米粥
原料：银耳、莲子、水、冰糖。,,冰糖银耳莲子羹
原料：肉馅、土豆、豆瓣酱、葱、食用油。,,土豆肉酱
原料：金枪鱼、葱、鸡精、生抽、胡椒粉、辣椒、生姜。,,潮音潮人：清蒸金枪鱼
原料：面粉、菠菜汁、酵母、精盐、玉米油、胡萝卜。,,绿面花卷
原料：番茄、猪梅花肉、鸡蛋、老姜、大葱、香葱、盐、淀粉、葵花油。,,番茄三鲜水晶肉片浓汤
原料：高粉、牛奶、鸡蛋、白糖、奶粉、酵母、总统黄油、盐、花生酱。,,花生酱面包
原料：白菜心、干贝、盐、鸡粉、糖、胡椒粉、芹菜末。,,菜心煮干贝
原料：面粉、酵母、紫甘蓝汁、水。,,花样馒头～向日葵
原料：鸡蛋、莲藕、猪肉、玉米淀粉、普通面粉、食用油、老抽、清水、香葱、生姜、鸡粉、白糖、食盐。,,炸香酥藕盒
原料：铁棍山药、蓝莓果酱、白醋、食盐。,,蓝莓山药
原料：棉花糖、无盐黄油、全脂奶粉、咸蛋黄、肉松、三牛椒盐饼干、全脂奶粉。,,肉松咸蛋雪花酥
原料：火腿肠、洋葱、香菇、大米饭、植物油、盐、芝士。,,花样美食家常焗饭
原料：棉花糖、总统黄油、全脂奶粉、青岚抹茶粉、花生仁。,,抹茶花生牛轧糖
原料：鲍鱼、海参、猪肉、鸡蛋、葱、花生油、生抽、白糖、老抽、鸡精、番茄沙司、清水、姜、蒜。,,花样美食之红烧黄金鲍鱼
原料：牛上脑、面条、青菜、姜、蒜、干辣椒、番茄沙司、盐、郫县豆瓣酱、桂皮、小茴香、辣椒粉、花椒粒、草果、香叶。,,香辣牛肉面
原料：鸡、香菇、花雕酒、葱、盐、香菜、姜、大料、花椒。,,香菇炖鸡
原料：猪肉、干肠料、盐、味精、白糖、白酒、酱油。,,自己灌制香肠
原料：娃娃菜、葱、蒜、味极鲜酱油、盐、食用油。,,素炒娃娃菜
原料：鸭掌、泡海椒、泡姜、大葱、菜籽油、料酒、盐、白糖、胡椒粉、鸡精、花椒、老姜。,,泡椒鸭掌
原料：龙骨、鲜海带、绿豆、姜、盐。,,绿豆海带龙骨汤
原料：五花肉片、干香菇、牛蒡、白萝卜、胡萝卜、面粉、又伊鲜鲜味酱油、味增、盐、麻油。,,团子汁
原料：潮汕甜粿、薄饼皮、油。,,烙甜粿
原料：鸡蛋、茶叶蛋料包、八角、香叶、酱油、盐。,,简易茶叶蛋
原料：青豌豆、鸡胸肉、葱、生抽、糖、植物油、料酒、淀粉。,,豌豆炒鸡丁
原料：棉花糖、大杏仁、总统黄油、全脂奶粉。,,杏仁牛轧糖
原料：鸡胸肉、土豆、胡萝卜、洋葱、咖喱、盐、淀粉、料酒。,,咖喱土豆鸡丁
原料：低筋面粉、鸡蛋、黄油、奶粉、糖粉。,,阿拉棒
原料：米、带皮五花肉、香菇、大青菜、盐。,,咸菜饭
原料：西瓜皮、粉丝、西红柿、香菜、香葱、香油、陈醋、生抽、盐、小米椒、姜末,,瓜皮粉丝汤
原料：面粉、菠菜汁、酵母、水,,花样馒头～心与熊
原料：猪皮、菠菜、盐、小苏打。,,#花样美食#双色猪皮冻
原料：腐竹、黄瓜、花生米、香菜、蒜、酱油、香油、米醋、香醋、盐、鸡精、白糖。,,#花样美食#凉拌腐竹黄瓜
原料：紫菜、黄萝卜、黄瓜、火腿肠、大米、白糖、米醋、芝麻、盐、鸡精、竹卷帘。,,#花样美食#清新小卷
原料：芋头、黄油、奶油、糖、芝麻、紫薯粉。,,花样美食之芋泥
原料：韭黄、鸡蛋、盐、蚝油。,,鸡蛋韭黄
原料：紫菜、鸡蛋、清水、鸡粉、葱花、盐、水淀粉、香菜末。,,紫菜蛋花汤
原料：西瓜皮、小米椒、生抽、陈醋、盐、香油、香菜,,凉拌西瓜皮
原料：猴头菇、西芹、油、盐、红椒。,,猴头菇炒西芹
原料：低筋面粉、蔓越莓干、黄油、鸡蛋液、糖粉。,,“花样美食”蔓越莓饼干
原料：菌包、姬松茸、金针菇、虫草花、杏鲍菇、调味油、调味料、食盐。,,好喝养颜菌汤
原料：烤麸、干木耳、干香菇、干黄花菜、葱花、姜片、蒜片、盐、冰糖。,,简化版四喜烤麸
原料：鸡蛋、蛋糕粉、栗子粉、牛奶、糖粉、玉米油、柠檬汁。,,栗子糕
原料：内酯豆腐、小米椒、小葱、鲜味酱油。,,葱香嫩豆腐
原料：西兰花、瘦肉、姜、蒜、葱、蚝油、鸡粉、盐、油、白糖、酱油。,,西兰花炒肉片
原料：竹笋、莴笋、干木耳、油、盐。,,“花样美食”双笋炒木耳
原料：鱼头、客家老豆腐、芫茜、姜、盐、油、鸡粉。,,芫茜鱼头豆腐汤
原料：高筋面粉、牛奶、香蕉、白糖、酵母、黄油、鸡蛋。,,“花样美食”香蕉面包
原料：虾、油菜、番茄沙司、白糖、白醋、老抽、盐、玉米淀粉、料酒。,,花样美食 花开富贵虾
原料：西米、草莓、牛奶、冰糖,,草莓西米露
原料：胡萝卜汁面团、芹菜汁面团、南瓜面团、白面面团、酱油、香醋、香菜、胡萝卜、黄瓜、葱姜、糊料粉、芝麻碎、花生油、盐,,猫耳朵面鱼
原料：鸡蛋、牛奶、玉米、低粉、白糖、肉松、葱花,,葱香肉松卷
原料：胆水豆腐、猪肉馅、小葱、大蒜、生姜、生抽、料酒、郫县豆瓣酱、花椒面、高汤、淀粉。,,麻婆豆腐
原料：新良低筋面粉、橙皮丁、鸡蛋、黄油、白砂糖、可可粉。,,糖渍橙皮丁玛德琳
原料：带鱼、油、盐、白酒、花椒、酱油、香醋、白糖、胡椒粉、葱、姜。,,凉浸带鱼
原料：花蛤、姜、蒜、辣椒、葱、油、盐、料酒、生抽。,,爆炒花蛤
原料：鲅鱼、粉条、葱、姜、盐、酱油、豆瓣酱、味精。,,鲅鱼粉条
原料：西米、芒果、牛奶、冰糖,,芒果西米露
原料：腊肠、玉米、西红柿、豌豆、自然鲜酱油、盐。,,【花样美食】懒人版～腊肠焖饭
原料：猪肉、香菇、豆腐、黄瓜、胡萝卜、姜、蒜、淀粉、盐、料酒、生抽、甜面酱。,,炸酱面
原料：鱿鱼、白面、鸡蛋、面包糠、姜、料酒、胡椒粉、姜末、十三香、番茄酱、盐。,,黄金鱿鱼圈
原料：花生米、辣椒粉、干红椒、香叶、花椒。,,椒盐花生米
原料：凤尾蘑、油、盐、孜然粉。,,孜然凤尾蘑
原料：低粉、杏仁粉、总统无盐黄油、细砂糖、牛奶、盐,,玫瑰花曲奇
原料：棉花糖、总统无盐黄油、奶粉、熟花生仁、熟黑芝麻。,,芝麻花生牛轧糖
原料：黄油、低筋面粉、可可粉、糖粉、鸡蛋、色拉油。,,纯手工双色曲奇
原料：莲藕、猪肉、油、盐、酱油、白胡椒粉、料酒、白糖、葱、淀粉、枸杞、胡萝卜、姜。,,蒸藕夹
原料：韭菜、鸡蛋、玉米油、精盐、姜粉、鸡精。,,韭菜鸡蛋盒子
原料：金花菜、蚌肉、盐、猪油、白酒。,,蚌肉金花菜
原料：苹果、水。,,苹果拼盘
原料：三线五花肉、蒜苔、洋葱、生抽、老抽、橄榄油、料酒、盐、辣椒面、郫县豆瓣、永川豆豉、蒜、大葱、小葱、白芝麻、汉源花椒。,,铁板五花肉
原料：菠菜、山药、盐、鸡蛋、香油。,,山药菠菜汤
原料：荠菜、猪肉糜、葱、食用油、食盐、面粉、清水、生抽、鸡精、姜。,,花样美食之荠菜饺子
原料：细玉米面、白面、牛奶、酵母、白糖、小苏打、淀粉。,,农村玉米面锅贴子
原料：火腿、雪豆、盐、食用油、生抽、辣椒粉。,,雪豆火腿丁
原料：饼粉、胡萝卜、盐、鸡蛋、辣酱、番茄沙司。,,胡萝卜蔬菜饼
原料：荷兰豆、腊肠、油、盐、蒜。,,“花样美食”荷兰豆炒腊肠
原料：海参、山东大葱、花生油、生抽、白糖、鸡精、水淀粉、热水。,,花样美食之葱烧海参
原料：绿豆、水。,,家生绿豆芽
原料：牛肉、土豆、生抽、老抽、料酒、冰糖、五香料包、盐。,,土豆炖牛肉
原料：低筋粉、鸡蛋、油、牛奶、白糖、淡奶油、白糖、椰蓉。,,奶油小贝
原料：高粉、水、酵母、高粉、白糖、鸡蛋、牛奶、奶粉、酵母、总统黄油、盐、花生酱、椰蓉、蔓越莓。,,花生酱椰蓉小福包
原料：西葫芦、鸡蛋、盐、鸡精。,,西葫芦炒鸡蛋
原料：面粉、酱油、醋、花椒、八角、大蒜、辣椒粉。,,自制凉皮
原料：帝王蟹肉、鸡蛋、油、盐。,,帝王蟹肉炒鸡蛋
原料：豌豆、腊肉、胡萝卜、火腿肠、葱蒜花、料酒、酱油、盐、鸡精、十三香。,,豌豆炒腊肉
原料：面包粉、低粉、即发干酵母、细砂糖、盐、奶粉、蛋液、水、黄油、紫薯馅。,,#花样美食#紫薯花包
原料：酸奶、西瓜、芒果、猕猴桃、蓝莓、水果麦片、贝壳形巧克力谷物片。,,水果麦片酸奶杯
原料：鸡蛋、白糖、塔塔粉、低粉、水、色拉油、紫薯泥、淡奶油。,,紫薯蛋糕卷
原料：鸡蛋、奶油奶酪、低筋粉、牛奶、黄油、糖、柠檬汁。,,轻芝士蛋糕
原料：高粉、牛奶、糖、盐、蛋液、奶粉、黄油、酵母、果酱。,,果酱面包
原料：橙子、吉利丁片、糖。,,好吃解酒的香橙子布丁
原料：面粉、清水、鸡蛋、甜面酱、糖、油、香菜、火腿、盐。,,炸酱面
原料：牛奶、高粉、低粉、全麦粉、蛋液、淡奶油、糖、盐、奶粉、酵母、豆沙馅、黑芝麻。,,红豆沙花朵包
原料：排骨、小白菜、葱、姜、白子、肉扣、丁香、香菜、盐、味精、花椒油。,,浓情排骨汤
原料：鸡蛋、低粉、糖、盐、黄油、可可粉、泡打粉、绿色素。,,童趣蛋糕
原料：牛奶、高粉、低粉、全麦粉、蛋液、淡奶油、糖、盐、奶粉、酵母、黑芝麻。,,黑芝面包圈
原料：鸡蛋、尖椒、鸡精、酱油、油。,,尖椒鸡蛋饼
